Timestamp,X,Y,Z,timestamp
11-Sep-2023 16:58:52.964,-0.494122,1.138532,10.015373,0
11-Sep-2023 16:58:52.974,-0.544418,0.94738,10.200688,0.0100000000020373
11-Sep-2023 16:58:52.984,-0.746647,0.858315,10.243349,0.0199999999967986
11-Sep-2023 16:58:52.994,-0.913999,0.94738,10.14186,0.0299999999988358
11-Sep-2023 16:58:53.004,-1.025368,1.159938,10.035132,0.0400000000008731
11-Sep-2023 16:58:53.014,-0.95217,1.420546,9.869576,0.0500000000029104
11-Sep-2023 16:58:53.024,-0.722997,1.585054,9.645342,0.0599999999976717
11-Sep-2023 16:58:53.034,-0.437241,1.593436,9.51646,0.069999999999709
11-Sep-2023 16:58:53.044,-0.243394,1.475631,9.531729,0.0800000000017462
11-Sep-2023 16:58:53.054,-0.161664,1.368604,9.544003,0.0899999999965075
11-Sep-2023 16:58:53.064,-0.157622,1.294209,9.59849,0.0999999999985448
11-Sep-2023 16:58:53.074,-0.309407,1.217867,9.765243,0.110000000000582
11-Sep-2023 16:58:53.084,-0.493224,1.195714,10.02151,0.120000000002619
11-Sep-2023 16:58:53.094,-0.604293,1.158142,10.133328,0.129999999997381
11-Sep-2023 16:58:53.104,-0.667013,1.079555,9.956246,0.139999999999418
11-Sep-2023 16:58:53.114,-0.742306,1.120719,9.722582,0.150000000001455
11-Sep-2023 16:58:53.124,-0.647254,1.227597,9.551937,0.160000000003492
11-Sep-2023 16:58:53.134,-0.505948,1.273552,9.465117,0.169999999998254
11-Sep-2023 16:58:53.144,-0.316292,1.297352,9.418863,0.180000000000291
11-Sep-2023 16:58:53.154,-0.242346,1.310525,9.448053,0.190000000002328
11-Sep-2023 16:58:53.164,-0.243843,1.316363,9.613309,0.19999999999709
11-Sep-2023 16:58:53.174,-0.305964,1.324745,9.777667,0.209999999999127
11-Sep-2023 16:58:53.184,-0.339793,1.360371,9.902059,0.220000000001164
11-Sep-2023 16:58:53.194,-0.307311,1.353186,9.816586,0.230000000003201
11-Sep-2023 16:58:53.204,-0.357008,1.331331,9.577084,0.239999999997963
11-Sep-2023 16:58:53.214,-0.430355,1.28867,9.413624,0.25
11-Sep-2023 16:58:53.224,-0.413291,1.340762,9.248518,0.260000000002037
11-Sep-2023 16:58:53.234,-0.527353,1.384022,9.20421,0.269999999996799
11-Sep-2023 16:58:53.244,-0.633632,1.456322,9.221424,0.279999999998836
11-Sep-2023 16:58:53.255,-0.698897,1.484014,9.339977,0.290999999997439
11-Sep-2023 16:58:53.265,-0.855321,1.652563,9.596095,0.300999999999476
11-Sep-2023 16:58:53.275,-1.009351,1.701362,9.80536,0.311000000001513
11-Sep-2023 16:58:53.285,-1.557661,1.765878,10.190359,0.321000000003551
11-Sep-2023 16:58:53.295,-1.463656,2.066602,10.152637,0.330999999998312
11-Sep-2023 16:58:53.305,-1.491498,2.10133,9.891431,0.341000000000349
11-Sep-2023 16:58:53.315,-1.366658,1.912423,9.684561,0.351000000002387
11-Sep-2023 16:58:53.325,-1.069676,1.684747,9.549242,0.360999999997148
11-Sep-2023 16:58:53.335,-1.220861,1.556314,9.510473,0.370999999999185
11-Sep-2023 16:58:53.345,-1.302591,1.571133,9.459878,0.381000000001222
11-Sep-2023 16:58:53.355,-1.181343,1.717678,9.285191,0.39100000000326
11-Sep-2023 16:58:53.365,-0.872685,1.872307,9.110954,0.400999999998021
11-Sep-2023 16:58:53.375,-0.683479,2.067052,9.100775,0.411000000000058
11-Sep-2023 16:58:53.385,-0.645158,2.075883,9.448951,0.421000000002095
11-Sep-2023 16:58:53.395,-0.446671,1.937571,9.51646,0.430999999996857
11-Sep-2023 16:58:53.405,-0.392783,1.497187,9.366921,0.440999999998894
11-Sep-2023 16:58:53.415,-0.655637,1.07252,9.530531,0.451000000000931
11-Sep-2023 16:58:53.425,-1.278042,0.713117,10.24275,0.461000000002969
11-Sep-2023 16:58:53.435,-1.480421,0.531844,10.656789,0.47099999999773
11-Sep-2023 16:58:53.445,-0.837808,0.920586,10.243349,0.480999999999767
11-Sep-2023 16:58:53.455,-0.812959,0.864452,10.377919,0.491000000001804
11-Sep-2023 16:58:53.465,-0.538281,0.614023,10.267,0.500999999996566
11-Sep-2023 16:58:53.475,0.034428,1.068478,10.012229,0.510999999998603
11-Sep-2023 16:58:53.485,0.495021,1.246608,9.90131,0.521005126953241
11-Sep-2023 16:58:53.495,0.681533,1.310375,9.884096,0.531000000002678
11-Sep-2023 16:58:53.505,1.008303,1.414109,9.898466,0.540999999997439
11-Sep-2023 16:58:53.515,1.25993,1.420097,9.744586,0.550999999999476
11-Sep-2023 16:58:53.525,1.51979,1.349893,9.667945,0.561000000001513
11-Sep-2023 16:58:53.535,1.600621,1.377585,9.629026,0.571000000003551
11-Sep-2023 16:58:53.545,1.664838,1.378783,9.470805,0.580999999998312
11-Sep-2023 16:58:53.555,1.568289,1.374292,9.40584,0.591000000000349
11-Sep-2023 16:58:53.565,1.467997,1.302741,9.340726,0.601000000002387
11-Sep-2023 16:58:53.575,1.404978,1.318758,9.286988,0.610999999997148
11-Sep-2023 16:58:53.585,1.326392,1.373095,9.371861,0.620999999999185
11-Sep-2023 16:58:53.595,1.303639,1.426084,9.467213,0.631000000001222
11-Sep-2023 16:58:53.605,1.321302,1.530417,9.434431,0.64100000000326
11-Sep-2023 16:58:53.615,1.132395,1.673819,9.421408,0.650999999998021
11-Sep-2023 16:58:53.625,0.949176,1.758693,9.361084,0.661000000000058
11-Sep-2023 16:58:53.635,0.88017,1.597328,9.243728,0.671000000002095
