subject,task,window_id,acc_x_minimum,acc_x_maximum,acc_x_mean,acc_x_std_dev,acc_x_skewness,acc_x_kurtosis,acc_x_dominant_freq,acc_x_dominant_amplitude,acc_y_minimum,acc_y_maximum,acc_y_mean,acc_y_std_dev,acc_y_skewness,acc_y_kurtosis,acc_y_dominant_freq,acc_y_dominant_amplitude,acc_z_minimum,acc_z_maximum,acc_z_mean,acc_z_std_dev,acc_z_skewness,acc_z_kurtosis,acc_z_dominant_freq,acc_z_dominant_amplitude,gyr_x_minimum,gyr_x_maximum,gyr_x_mean,gyr_x_std_dev,gyr_x_skewness,gyr_x_kurtosis,gyr_x_dominant_freq,gyr_x_dominant_amplitude,gyr_y_minimum,gyr_y_maximum,gyr_y_mean,gyr_y_std_dev,gyr_y_skewness,gyr_y_kurtosis,gyr_y_dominant_freq,gyr_y_dominant_amplitude,gyr_z_minimum,gyr_z_maximum,gyr_z_mean,gyr_z_std_dev,gyr_z_skewness,gyr_z_kurtosis,gyr_z_dominant_freq,gyr_z_dominant_amplitude,class
S1,task_1,1,8.183183,8.472831,8.32886772375,0.04851343949932775,-0.07990751323737698,-0.09689070138055245,29.0,10.139166836219205,-0.359552,-0.134121,-0.2671812575,0.038591421058393194,0.30910559635387835,0.16999907417714955,14.5,9.749141745324536,-5.144203,-4.87132,-5.007775135,0.045905404617259116,0.12380402518938742,-0.06551275382589372,0.5,12.019736849905495,-0.033837,0.026494,-0.0005114087499999999,0.009387116858848271,-0.3856890199752204,0.24949740530086784,8.0,1.6599594088558294,-0.020298,0.033206,0.0054474825,0.008150633331508278,-0.06001021104325918,0.12045600189549122,29.0,1.3442002367814687,-0.022113,0.016144,-0.00194056375,0.006023199406539346,0.1967950485014986,0.01275071367636249,14.5,1.4821029001659527,0
S1,task_1,2,8.0549,8.581205,8.349428965,0.05820875348391575,-0.48761087229502564,4.060909328987198,29.5,10.532967145189296,-0.406105,-0.175285,-0.28230075,0.04106922904036549,0.0261420963714558,-0.3858323559628083,14.5,9.62000855939701,-5.280868,-4.738696,-4.975114375,0.0475969900889686,-0.839085894307604,6.098515947389478,0.5,9.989303602233804,-0.033837,0.040882,3.330874999999997e-05,0.010344020293914907,0.20751718050267845,0.6806845922191838,5.0,2.209216440296514,-0.06992,0.033206,0.00431972875,0.010317094905188836,-1.7372461097870897,9.216820079201206,2.5,1.4053478071227674,-0.023203,0.016976,-0.00195242875,0.0062554305998806705,0.08780166142985554,0.31215213489542615,14.5,1.3281133551957367,0
S1,task_1,3,8.039781,8.611592,8.33327287625,0.0785671516546256,-0.3657061761895945,2.2498345267733857,29.0,13.119679913320695,-0.421673,-0.111219,-0.2934800825,0.04515317969501919,0.19610819899215987,0.17043367468844384,14.5,10.976195581279862,-5.280868,-4.738696,-4.9984207325,0.060778316426921074,-0.5641308097483576,1.734001557663528,0.5,20.201210760468964,-0.035289,0.040882,-0.00087344125,0.011695698076709593,0.30159757410644145,0.4352214018176488,2.5,1.985072743957838,-0.06992,0.042917,0.0031227,0.012200041877592062,-1.5748089742569116,6.807815753200575,11.0,1.5146900585746514,-0.039997,0.021382,-0.0017140987499999999,0.007581726179208693,-0.3027720805640452,1.6765246963706115,14.5,1.5608817283712457,0
S1,task_1,4,8.039781,8.611592,8.30559243625,0.07034946865379252,0.05327096872313145,2.4841974803731626,29.0,12.343643880971321,-0.44712,-0.111219,-0.29967925125,0.04784176419542473,0.3141899617470448,0.5439221290951775,14.5,10.274285568421295,-5.213359,-4.884942,-5.04339301875,0.04750012976712167,0.031538662764470524,0.5034438210697676,1.5,7.112838906155419,-0.035289,0.030242,-0.00133250125,0.011626649811639569,0.1347283552391509,-0.057004960476858546,7.5,2.1546904294349276,-0.068486,0.042917,0.00409393,0.01155491144211413,-0.8999179722493215,3.7630080414081686,36.0,1.5266579644995069,-0.039997,0.021382,-0.00170280125,0.007557397061439106,-0.35682606770265984,1.4475128567465054,14.5,1.4728089370737691,0
S1,task_1,5,8.118368,8.447833,8.31277879,0.050937452159765494,-0.23442633626478085,0.4093237972625383,28.5,9.459168778472886,-0.44712,-0.143701,-0.314321425,0.04729426045110416,0.19871917089795899,0.41913693134917906,14.0,11.703627515619576,-5.156776,-4.894671,-5.0335451725,0.04611066515024203,0.1276461498366276,-0.09345886609669662,0.5,12.01737391229725,-0.034804,0.030242,-0.00068141125,0.01049213099945018,0.09288765575546391,-0.33853429682937897,14.0,2.094974042828869,-0.03151,0.029011,0.00468812125,0.00928126167374611,-0.283129028420788,0.503250263668015,28.5,1.1265040287103945,-0.019593,0.020218,-0.0017824575,0.006250712998986096,0.02449185828756188,-0.018580311637712565,14.0,1.5991975343339941,0
S1,task_1,6,8.162227,8.445737,8.32108764,0.047039926874894264,0.019069989086426833,-0.08054681093644067,27.5,8.876038963481383,-0.443827,-0.170196,-0.3178007625,0.04562108933685269,0.1272692826300151,-0.057079046912610565,14.0,9.655433037396007,-5.170099,-4.877607,-5.01877950125,0.04448050755572603,0.052708187855458666,0.02478653285432486,0.5,7.02985933108887,-0.04084,0.02074,-0.0018859775000000004,0.011233330306703072,-0.637944566932713,0.39018332375130216,4.5,1.9488615195584222,-0.024283,0.026597,0.0046070475,0.008722107372231997,-0.23418033426211762,-0.048883347521590625,27.5,1.2581897820850185,-0.017729,0.020218,-0.0016687525,0.006204980974083945,0.41662881841392857,0.3733037472203522,14.0,1.294919107220149,0
S1,task_2,1,8.134534,8.444839,8.29538141375,0.0476925155228791,-0.004311262961493412,0.22529394005120595,27.5,7.881193389524395,-0.391286,-0.129181,-0.28283965,0.04276476539649785,0.3576462242786717,0.0331574717437535,14.0,7.6301311826045985,-5.162315,-4.925208,-5.0642357037500005,0.04176769829106562,0.252151136319222,-0.10412948709157188,1.5,8.511626495371832,-0.04268,0.023199,-0.0030321712499999996,0.010284771258731205,-0.261205326054837,0.5886975681463142,14.0,1.6919519673044165,-0.021772,0.031152,0.004581303750000001,0.00858961320790907,-0.11132061790016044,0.19555255548997108,1.5,1.7564274354970837,-0.01739,0.018648,-0.0011965237500000002,0.006026655388723993,0.21467102977608535,-0.14394290613511407,14.0,1.1390718731689833,1
S1,task_2,2,8.167017,8.511899,8.29925721875,0.0488010914974594,0.272059469593443,0.5560485726796802,1.5,7.021077390006159,-0.434696,-0.184866,-0.29351881750000003,0.03999940942713022,-0.051906323264112264,0.09545275613985904,13.5,9.546099606918677,-5.162315,-4.911886,-5.05659276625,0.04656933163154816,0.2217701254221473,-0.30269473205664177,1.5,10.923028044366834,-0.033229,0.023353,-0.0010684025000000002,0.00906628502105431,-0.010682986711381176,0.1617496333814743,13.5,2.04043405380772,-0.029406,0.031152,0.00432863875,0.009785588155586174,-0.31927722124225016,0.29558404681497796,1.5,2.1335477311845548,-0.018565,0.013477,-0.0013805825,0.005659768628282763,-0.06742498067048809,-0.3115613628612923,13.5,1.2963012903638667,1
S1,task_2,3,8.110434,8.511899,8.29772196875,0.05227171043738936,0.13269235473215857,0.7601635923401351,34.5,9.068424990197808,-0.434696,-0.177531,-0.3029658525,0.042030875281431436,0.06692604239311864,-0.11173102660218692,14.0,8.87035544860267,-5.196294,-4.911886,-5.05952459375,0.05204255839722632,0.2108280314282682,-0.3487487529362081,1.0,13.87140300454131,-0.033229,0.023937,-0.00084685125,0.009312671609512676,0.10537563386981788,-0.10610942492342623,14.0,1.8500606157548058,-0.029406,0.030432,0.00410313625,0.01054748185102425,-0.16081958218851578,-0.11115553823887847,1.0,2.396062622932185,-0.022275,0.013477,-0.0014512762500000001,0.0057250169672181704,-0.3022633283840848,0.06730391256400337,14.0,1.2938883983473055,1
S1,task_2,4,8.109536,8.441995,8.2956211,0.055179193959181784,-0.17970959176793747,0.1515244804025917,34.0,9.80807877104644,-0.421673,-0.177531,-0.30401646875,0.04224274891042276,0.0745309487517115,-0.3796175458816329,13.5,11.057613677282324,-5.196294,-4.902755,-5.062552415,0.053401119316829636,0.3061385568762616,-0.27676870803450715,1.5,12.104530546730421,-0.029301,0.025356,-0.00199076125,0.00955348471078739,-0.03298744105774786,-0.0024655103596931127,13.5,2.2594693152701883,-0.027358,0.030527,0.00472834375,0.010435178715435875,0.0016895987057724837,-0.2483108330394077,1.5,2.574976821297218,-0.022275,0.014288,-0.0020029999999999996,0.00578273276552704,-0.09957118967050374,-0.09060810272328723,13.5,1.5679296322035328,1
